code_rome,slug,title,grand_domaine_code,grand_domaine,domaine_pro,projets_recrutement,taux_difficulte,is_digital,transition_eco,emploi_reglemente,url
A1101,a1101,Conducteur / Conductrice d'engins agricoles,A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,3814,66.7,False,Emploi Blanc,,https://candidat.francetravail.fr/metierscope/fiche-metier/A1101
A1102,a1102,Conducteur / Conductrice d'engins d'exploitation forestière,A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,0,,False,Emploi stratégique pour la Transition écologique,,https://candidat.francetravail.fr/metierscope/fiche-metier/A1102
A1201,a1201,Bûcheron / Bûcheronne,A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,1352,72.0,False,Emploi stratégique pour la Transition écologique,N,https://candidat.francetravail.fr/metierscope/fiche-metier/A1201
A1202,a1202,Agent / Agente d'entretien des espaces naturels,A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,27450,53.2,False,Emploi Vert,N,https://candidat.francetravail.fr/metierscope/fiche-metier/A1202
A1203,a1203,Agent / Agente d'entretien des espaces verts,A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,27450,53.2,False,Emploi stratégique pour la Transition écologique,N,https://candidat.francetravail.fr/metierscope/fiche-metier/A1203
A1204,a1204,Garde de parc naturel,A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,1998,68.9,False,Emploi Vert,,https://candidat.francetravail.fr/metierscope/fiche-metier/A1204
A1205,a1205,Sylviculteur / Sylvicultrice,A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,1352,72.0,False,Emploi stratégique pour la Transition écologique,N,https://candidat.francetravail.fr/metierscope/fiche-metier/A1205
A1206,a1206,Concepteur / Conceptrice paysagiste,A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,0,,False,Emploi Vert,O,https://candidat.francetravail.fr/metierscope/fiche-metier/A1206
A1207,a1207,Chef / Cheffe d'équipe d'entretien d'espaces naturels,A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,0,,False,Emploi Vert,N,https://candidat.francetravail.fr/metierscope/fiche-metier/A1207
A1208,a1208,Jardinier / Jardinière paysagiste,A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,0,,False,Emploi Vert,N,https://candidat.francetravail.fr/metierscope/fiche-metier/A1208
A1209,a1209,Elagueur / Elagueuse,A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,0,,False,Emploi stratégique pour la Transition écologique,N,https://candidat.francetravail.fr/metierscope/fiche-metier/A1209
A1210,a1210,Ouvrier forestier / Ouvrière forestière,A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,0,,False,Emploi stratégique pour la Transition écologique,N,https://candidat.francetravail.fr/metierscope/fiche-metier/A1210
A1211,a1211,Chef / Cheffe d'équipe paysagiste,A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,0,,False,Emploi stratégique pour la Transition écologique,N,https://candidat.francetravail.fr/metierscope/fiche-metier/A1211
A1212,a1212,Chef / Cheffe d'équipe de travaux forestiers,A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,0,,False,Emploi stratégique pour la Transition écologique,N,https://candidat.francetravail.fr/metierscope/fiche-metier/A1212
A1213,a1213,Conducteur / Conductrice de travaux forestiers,A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,0,,False,Emploi stratégique pour la Transition écologique,N,https://candidat.francetravail.fr/metierscope/fiche-metier/A1213
A1214,a1214,Patrouilleur modeleur / Patrouilleuse modeleuse VTT,A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Espaces naturels et espaces verts,0,,False,Emploi stratégique pour la Transition écologique,N,https://candidat.francetravail.fr/metierscope/fiche-metier/A1214
A1301,a1301,Technicien / Technicienne de culture maraîchère,A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Etudes et assistance technique,1500,63.9,False,Emploi Vert,,https://candidat.francetravail.fr/metierscope/fiche-metier/A1301
A1302,a1302,Technicien / Technicienne agricole,A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Etudes et assistance technique,1500,63.9,False,Emploi stratégique pour la Transition écologique,,https://candidat.francetravail.fr/metierscope/fiche-metier/A1302
